dimension,MDP_ID,wind_param,sol_method,l1_norm,no_solutions,solver_time
4,61,0.8,IP,2.0,4.0,0.5071146488189697
4,61,0.8,IP,1.0,4.0,0.6462962627410889
4,61,0.8,IP,0.0,4.0,0.5347898006439209
4,61,0.8,IP,6.0,3.0,0.3602893352508545
4,61,0.8,IP,2.0,3.0,0.36916518211364746
4,61,0.8,IP,1.0,3.0,0.43631887435913086
4,61,0.8,IP,2.0,3.0,0.36011672019958496
4,61,0.8,IP,1.0,4.0,0.605522871017456
4,61,0.8,IP,5.0,3.0,0.4470398426055908
4,61,0.8,IP,0.0,1.0,0.12496685981750488
4,61,0.8,IP,1.0,3.0,0.4539010524749756
4,61,0.8,IP,1.0,2.0,0.6081082820892334
4,61,0.8,IP,0.0,2.0,0.2583920955657959
4,61,0.8,IP,0.0,1.0,0.13071203231811523
4,61,0.8,IP,1.0,3.0,0.3823704719543457
4,61,0.8,IP,4.0,3.0,0.3646562099456787
4,61,0.8,IP,0.0,1.0,0.13749980926513672
4,61,0.8,IP,2.0,2.0,0.2468433380126953
4,61,0.8,IP,0.0,4.0,0.4987678527832031
4,61,0.8,IP,0.0,3.0,0.3769571781158447
4,61,0.8,IP,4.0,2.0,0.2612628936767578
4,61,0.8,IP,1.0,6.0,0.9399020671844482
4,61,0.8,IP,3.0,3.0,0.4654519557952881
4,61,0.8,IP,2.0,3.0,0.36749696731567383
4,61,0.8,IP,1.0,2.0,0.3685753345489502
4,61,0.8,IP,0.0,2.0,0.2546706199645996
4,61,0.8,IP,1.0,2.0,0.26970601081848145
4,61,0.8,IP,0.0,1.0,0.12612462043762207
4,61,0.8,IP,2.0,2.0,0.24141502380371094
4,61,0.8,IP,1.0,1.0,0.17539715766906738
4,61,0.8,IP,2.0,4.0,0.48559093475341797
4,61,0.8,IP,3.0,7.0,1.0642707347869873
4,61,0.8,IP,0.0,3.0,0.3621666431427002
4,61,0.8,IP,0.0,2.0,0.23884296417236328
4,61,0.8,IP,1.0,2.0,0.3327162265777588
4,61,0.8,IP,2.0,3.0,0.36951208114624023
4,61,0.8,IP,2.0,5.0,0.6314737796783447
4,61,0.8,IP,1.0,4.0,0.5561661720275879
4,61,0.8,IP,3.0,3.0,0.4012448787689209
4,61,0.8,IP,2.0,3.0,0.37308526039123535
4,61,0.8,IP,1.0,1.0,0.23600101470947266
4,61,0.8,IP,0.0,3.0,0.3900902271270752
4,61,0.8,IP,2.0,4.0,0.4937002658843994
4,61,0.8,IP,1.0,2.0,0.32446932792663574
4,61,0.8,IP,1.0,2.0,0.3881876468658447
4,61,0.8,IP,0.0,2.0,0.25179600715637207
4,61,0.8,IP,3.0,4.0,0.5778632164001465
4,61,0.8,IP,1.0,2.0,0.3311161994934082
4,61,0.8,IP,0.0,2.0,0.2735269069671631
4,61,0.8,IP,0.0,1.0,0.12903618812561035
4,61,0.8,IP,1.0,4.0,0.6590249538421631
4,61,0.8,IP,1.0,1.0,0.14133620262145996
4,61,0.8,IP,1.0,5.0,0.6765000820159912
4,61,0.8,IP,2.0,3.0,0.3632369041442871
4,61,0.8,IP,1.0,2.0,0.36624908447265625
4,61,0.8,IP,0.0,2.0,0.26468992233276367
4,61,0.8,IP,1.0,3.0,0.427579402923584
4,61,0.8,IP,4.0,2.0,0.2492387294769287
4,61,0.8,IP,2.0,2.0,0.26287293434143066
4,61,0.8,IP,0.0,2.0,0.2476060390472412
4,61,0.8,IP,1.0,2.0,0.32019591331481934
4,61,0.8,IP,1.0,2.0,0.2554628849029541
4,61,0.8,IP,1.0,3.0,0.4443175792694092
4,61,0.8,IP,1.0,3.0,0.41057777404785156
4,61,0.8,IP,3.0,3.0,0.4273874759674072
4,61,0.8,IP,0.0,2.0,0.2498018741607666
4,61,0.8,IP,3.0,2.0,0.29956817626953125
4,61,0.8,IP,1.0,2.0,0.3133988380432129
4,61,0.8,IP,2.0,3.0,0.38456177711486816
4,61,0.8,IP,1.0,3.0,0.46064162254333496
4,61,0.8,IP,1.0,3.0,0.4660487174987793
4,61,0.8,IP,3.0,2.0,0.2881450653076172
4,61,0.8,IP,0.0,2.0,0.2460770606994629
4,61,0.8,IP,0.0,2.0,0.2492997646331787
4,61,0.8,IP,2.0,7.0,0.8645341396331787
4,61,0.8,IP,2.0,4.0,0.5028696060180664
4,61,0.8,IP,1.0,4.0,0.6006782054901123
4,61,0.8,IP,2.0,6.0,0.7384331226348877
4,61,0.8,IP,0.0,3.0,0.3784825801849365
4,61,0.8,IP,1.0,2.0,0.3410017490386963
4,61,0.8,IP,0.0,3.0,0.3719329833984375
4,61,0.8,IP,0.0,2.0,0.24550509452819824
4,61,0.8,IP,5.0,3.0,0.43993568420410156
4,61,0.8,IP,1.0,1.0,0.2000257968902588
4,61,0.8,IP,4.0,4.0,0.4898254871368408
4,61,0.8,IP,1.0,4.0,0.533015251159668
4,61,0.8,IP,1.0,2.0,0.25337910652160645
4,61,0.8,IP,1.0,2.0,0.2714378833770752
4,61,0.8,IP,0.0,1.0,0.12574100494384766
4,61,0.8,IP,2.0,4.0,0.48760104179382324
4,61,0.8,IP,1.0,2.0,0.32318592071533203
4,61,0.8,IP,0.0,5.0,0.6311933994293213
4,61,0.8,IP,0.0,3.0,0.36658596992492676
4,61,0.8,IP,4.0,4.0,0.47614288330078125
4,61,0.8,IP,5.0,3.0,0.44936251640319824
4,61,0.8,IP,1.0,3.0,0.3908379077911377
4,61,0.8,IP,1.0,2.0,0.3761179447174072
4,61,0.8,IP,0.0,2.0,0.25941920280456543
