dimension,MDP_ID,wind_param,sol_method,l1_norm,no_solutions,solver_time
4,111,0.8,IP,0.0,2.0,0.2757561206817627
4,111,0.8,IP,4.0,4.0,0.5458948612213135
4,111,0.8,IP,1.0,6.0,1.0122361183166504
4,111,0.8,IP,1.0,3.0,0.5697076320648193
4,111,0.8,IP,6.0,8.0,1.0185825824737549
4,111,0.8,IP,5.0,5.0,0.86572265625
4,111,0.8,IP,1.0,6.0,1.6658856868743896
4,111,0.8,IP,7.0,6.0,1.1375415325164795
4,111,0.8,IP,3.0,6.0,1.1531600952148438
4,111,0.8,IP,1.0,6.0,1.147857904434204
4,111,0.8,IP,1.0,6.0,1.6230158805847168
4,111,0.8,IP,2.0,5.0,0.6671047210693359
4,111,0.8,IP,1.0,6.0,1.1095201969146729
4,111,0.8,IP,3.0,7.0,0.9987401962280273
4,111,0.8,IP,4.0,8.0,1.0148274898529053
4,111,0.8,IP,4.0,8.0,1.0225403308868408
4,111,0.8,IP,1.0,6.0,2.308840274810791
4,111,0.8,IP,4.0,3.0,0.38956403732299805
4,111,0.8,IP,4.0,6.0,0.7538790702819824
4,111,0.8,IP,1.0,6.0,1.0031514167785645
4,111,0.8,IP,3.0,6.0,0.8510398864746094
4,111,0.8,IP,5.0,4.0,0.8854489326477051
4,111,0.8,IP,3.0,7.0,3.868400812149048
4,111,0.8,IP,3.0,8.0,1.4510383605957031
4,111,0.8,IP,4.0,7.0,0.8920888900756836
4,111,0.8,IP,5.0,6.0,0.9380440711975098
4,111,0.8,IP,0.0,7.0,0.9249236583709717
4,111,0.8,IP,2.0,5.0,0.6483323574066162
4,111,0.8,IP,0.0,4.0,0.5480561256408691
4,111,0.8,IP,1.0,5.0,1.0568156242370605
4,111,0.8,IP,3.0,6.0,0.9597206115722656
4,111,0.8,IP,4.0,6.0,0.7841970920562744
4,111,0.8,IP,3.0,3.0,0.79526686668396
4,111,0.8,IP,0.0,4.0,0.5370604991912842
4,111,0.8,IP,4.0,6.0,0.7627816200256348
4,111,0.8,IP,5.0,6.0,1.688230276107788
4,111,0.8,IP,0.0,5.0,0.6474759578704834
4,111,0.8,IP,1.0,7.0,1.5510308742523193
4,111,0.8,IP,2.0,4.0,0.5107190608978271
4,111,0.8,IP,1.0,3.0,0.7598919868469238
4,111,0.8,IP,2.0,2.0,0.25955963134765625
4,111,0.8,IP,5.0,8.0,2.966702461242676
4,111,0.8,IP,1.0,3.0,0.572056770324707
4,111,0.8,IP,5.0,4.0,0.7345912456512451
4,111,0.8,IP,1.0,2.0,0.36552000045776367
4,111,0.8,IP,5.0,5.0,1.2076258659362793
4,111,0.8,IP,0.0,6.0,0.7883687019348145
4,111,0.8,IP,4.0,5.0,0.6261491775512695
4,111,0.8,IP,5.0,6.0,1.2050645351409912
4,111,0.8,IP,1.0,5.0,0.9890756607055664
4,111,0.8,IP,3.0,9.0,1.9726572036743164
4,111,0.8,IP,2.0,7.0,0.8899931907653809
4,111,0.8,IP,2.0,4.0,0.5151281356811523
4,111,0.8,IP,5.0,5.0,1.1245622634887695
4,111,0.8,IP,4.0,5.0,0.6238932609558105
4,111,0.8,IP,1.0,1.0,0.30181097984313965
4,111,0.8,IP,3.0,6.0,1.1587984561920166
4,111,0.8,IP,1.0,2.0,0.6895139217376709
4,111,0.8,IP,0.0,5.0,0.6559493541717529
4,111,0.8,IP,0.0,5.0,0.6603176593780518
4,111,0.8,IP,5.0,7.0,1.4896695613861084
4,111,0.8,IP,0.0,3.0,0.39667367935180664
4,111,0.8,IP,2.0,5.0,0.6549637317657471
4,111,0.8,IP,4.0,5.0,0.6408352851867676
4,111,0.8,IP,1.0,4.0,0.8848612308502197
4,111,0.8,IP,5.0,4.0,0.7271168231964111
4,111,0.8,IP,3.0,4.0,0.8449273109436035
4,111,0.8,IP,7.0,7.0,1.1146636009216309
4,111,0.8,IP,3.0,5.0,0.9780821800231934
4,111,0.8,IP,4.0,8.0,1.0236785411834717
4,111,0.8,IP,2.0,6.0,0.7672231197357178
4,111,0.8,IP,2.0,5.0,0.6128730773925781
4,111,0.8,IP,1.0,4.0,0.8580582141876221
4,111,0.8,IP,2.0,2.0,0.26282811164855957
4,111,0.8,IP,3.0,4.0,0.926800012588501
4,111,0.8,IP,1.0,4.0,0.8825252056121826
4,111,0.8,IP,1.0,4.0,0.7839031219482422
4,111,0.8,IP,1.0,6.0,1.1048557758331299
4,111,0.8,IP,6.0,7.0,0.919914960861206
4,111,0.8,IP,6.0,8.0,1.0118129253387451
4,111,0.8,IP,7.0,7.0,1.317945957183838
4,111,0.8,IP,6.0,7.0,0.8833703994750977
4,111,0.8,IP,2.0,6.0,0.757413387298584
4,111,0.8,IP,5.0,3.0,0.40395283699035645
4,111,0.8,IP,5.0,3.0,0.4345099925994873
4,111,0.8,IP,5.0,5.0,0.7962460517883301
4,111,0.8,IP,4.0,10.0,1.2423627376556396
4,111,0.8,IP,1.0,6.0,0.9413533210754395
4,111,0.8,IP,4.0,6.0,0.7590429782867432
4,111,0.8,IP,3.0,6.0,0.9589791297912598
4,111,0.8,IP,6.0,4.0,0.5015113353729248
4,111,0.8,IP,5.0,4.0,0.9702110290527344
4,111,0.8,IP,1.0,4.0,0.7184221744537354
4,111,0.8,IP,1.0,3.0,0.5694639682769775
4,111,0.8,IP,6.0,7.0,0.8899068832397461
4,111,0.8,IP,2.0,6.0,0.7812168598175049
4,111,0.8,IP,0.0,2.0,0.25865674018859863
4,111,0.8,IP,1.0,6.0,1.0055921077728271
4,111,0.8,IP,5.0,5.0,0.8978891372680664
4,111,0.8,IP,0.0,2.0,0.26950693130493164
4,111,0.8,IP,4.0,3.0,0.37859177589416504
4,111,0.8,IP,4.0,7.0,0.8930873870849609
4,111,0.8,IP,7.0,8.0,1.2077882289886475
4,111,0.8,IP,5.0,9.0,1.7871856689453125
4,111,0.8,IP,5.0,3.0,0.41638970375061035
4,111,0.8,IP,1.0,6.0,1.565612554550171
4,111,0.8,IP,7.0,5.0,0.6646227836608887
4,111,0.8,IP,3.0,4.0,0.751028299331665
4,111,0.8,IP,5.0,2.0,0.43065881729125977
4,111,0.8,IP,0.0,3.0,0.40451788902282715
4,111,0.8,IP,0.0,7.0,0.9223155975341797
4,111,0.8,IP,0.0,5.0,0.6541295051574707
4,111,0.8,IP,5.0,9.0,1.7284541130065918
4,111,0.8,IP,2.0,6.0,0.7983708381652832
4,111,0.8,IP,1.0,3.0,0.5866885185241699
4,111,0.8,IP,0.0,2.0,0.2819530963897705
4,111,0.8,IP,2.0,5.0,0.6245579719543457
4,111,0.8,IP,4.0,8.0,1.002450942993164
4,111,0.8,IP,4.0,6.0,0.7947087287902832
4,111,0.8,IP,4.0,5.0,0.6402912139892578
4,111,0.8,IP,0.0,2.0,0.26871514320373535
4,111,0.8,IP,4.0,7.0,0.8487966060638428
4,111,0.8,IP,0.0,5.0,0.6849031448364258
4,111,0.8,IP,4.0,4.0,0.5239882469177246
4,111,0.8,IP,2.0,7.0,0.9044485092163086
4,111,0.8,IP,1.0,5.0,0.7435402870178223
