dimension,MDP_ID,wind_param,sol_method,l1_norm,no_solutions,solver_time
4,121,0.8,IP,2.0,6.0,0.9033019542694092
4,121,0.8,IP,0.0,4.0,0.5836660861968994
4,121,0.8,IP,4.0,5.0,0.6796650886535645
4,121,0.8,IP,0.0,6.0,0.8346230983734131
4,121,0.8,IP,1.0,3.0,0.4307522773742676
4,121,0.8,IP,1.0,6.0,1.0687057971954346
4,121,0.8,IP,8.0,5.0,0.6619601249694824
4,121,0.8,IP,0.0,3.0,0.4202752113342285
4,121,0.8,IP,1.0,7.0,2.7857515811920166
4,121,0.8,IP,5.0,4.0,0.97296142578125
4,121,0.8,IP,5.0,3.0,0.4100379943847656
4,121,0.8,IP,0.0,3.0,0.3985576629638672
4,121,0.8,IP,2.0,8.0,1.0849294662475586
4,121,0.8,IP,7.0,9.0,1.4833471775054932
4,121,0.8,IP,0.0,6.0,0.7914071083068848
4,121,0.8,IP,3.0,8.0,1.1044692993164062
4,121,0.8,IP,8.0,5.0,0.668006181716919
4,121,0.8,IP,1.0,4.0,1.387404203414917
4,121,0.8,IP,6.0,6.0,0.7983074188232422
4,121,0.8,IP,2.0,7.0,0.9217424392700195
4,121,0.8,IP,0.0,5.0,0.662304162979126
4,121,0.8,IP,3.0,6.0,1.1783630847930908
4,121,0.8,IP,2.0,5.0,0.6649284362792969
4,121,0.8,IP,6.0,5.0,0.6567747592926025
4,121,0.8,IP,3.0,5.0,0.7345826625823975
4,121,0.8,IP,5.0,7.0,1.3868911266326904
4,121,0.8,IP,8.0,5.0,0.6764500141143799
4,121,0.8,IP,0.0,6.0,0.8194010257720947
4,121,0.8,IP,4.0,3.0,0.4325833320617676
4,121,0.8,IP,1.0,4.0,0.7700743675231934
4,121,0.8,IP,4.0,5.0,0.6894447803497314
4,121,0.8,IP,1.0,8.0,2.0611836910247803
4,121,0.8,IP,2.0,4.0,0.5697827339172363
4,121,0.8,IP,1.0,5.0,1.1105914115905762
4,121,0.8,IP,11.0,7.0,1.483790636062622
4,121,0.8,IP,1.0,3.0,0.8116624355316162
4,121,0.8,IP,2.0,7.0,0.8796782493591309
4,121,0.8,IP,5.0,8.0,1.70762300491333
4,121,0.8,IP,0.0,6.0,0.8022346496582031
4,121,0.8,IP,9.0,7.0,1.4040753841400146
4,121,0.8,IP,3.0,4.0,0.512162446975708
4,121,0.8,IP,0.0,5.0,0.7054347991943359
4,121,0.8,IP,0.0,5.0,0.716120719909668
4,121,0.8,IP,6.0,5.0,0.6661462783813477
4,121,0.8,IP,1.0,6.0,1.8496294021606445
4,121,0.8,IP,5.0,7.0,2.3204517364501953
4,121,0.8,IP,6.0,6.0,0.7492790222167969
4,121,0.8,IP,1.0,6.0,1.3485102653503418
4,121,0.8,IP,1.0,4.0,0.5216717720031738
4,121,0.8,IP,3.0,7.0,1.0801727771759033
4,121,0.8,IP,7.0,5.0,0.8143479824066162
4,121,0.8,IP,1.0,6.0,1.351456642150879
4,121,0.8,IP,5.0,8.0,1.7023224830627441
4,121,0.8,IP,4.0,8.0,1.038773775100708
4,121,0.8,IP,5.0,7.0,1.4833660125732422
4,121,0.8,IP,1.0,5.0,0.8306400775909424
4,121,0.8,IP,2.0,4.0,0.5255711078643799
4,121,0.8,IP,4.0,7.0,0.8741140365600586
4,121,0.8,IP,2.0,5.0,0.6796348094940186
4,121,0.8,IP,3.0,4.0,0.6666607856750488
4,121,0.8,IP,0.0,4.0,0.5253698825836182
4,121,0.8,IP,9.0,7.0,0.9209597110748291
4,121,0.8,IP,10.0,10.0,1.2356653213500977
4,121,0.8,IP,10.0,5.0,0.6310789585113525
4,121,0.8,IP,2.0,7.0,0.8544847965240479
4,121,0.8,IP,5.0,5.0,1.0245411396026611
4,121,0.8,IP,7.0,7.0,1.0365591049194336
4,121,0.8,IP,6.0,4.0,0.5049121379852295
4,121,0.8,IP,7.0,9.0,1.5017473697662354
4,121,0.8,IP,1.0,6.0,0.8046624660491943
4,121,0.8,IP,3.0,5.0,0.8818368911743164
4,121,0.8,IP,5.0,5.0,0.7908127307891846
4,121,0.8,IP,0.0,4.0,0.5281729698181152
4,121,0.8,IP,1.0,5.0,1.2205474376678467
4,121,0.8,IP,2.0,5.0,0.6867194175720215
4,121,0.8,IP,1.0,4.0,0.738595724105835
4,121,0.8,IP,1.0,6.0,1.2766616344451904
4,121,0.8,IP,4.0,6.0,0.7667176723480225
4,121,0.8,IP,4.0,8.0,1.0174028873443604
4,121,0.8,IP,6.0,7.0,0.8817806243896484
4,121,0.8,IP,0.0,3.0,0.4072444438934326
4,121,0.8,IP,0.0,4.0,0.5216262340545654
4,121,0.8,IP,1.0,7.0,1.1260743141174316
4,121,0.8,IP,3.0,8.0,1.4176874160766602
4,121,0.8,IP,5.0,5.0,1.069955587387085
4,121,0.8,IP,6.0,6.0,0.7239284515380859
4,121,0.8,IP,3.0,4.0,0.6675829887390137
4,121,0.8,IP,0.0,5.0,0.6424441337585449
4,121,0.8,IP,4.0,4.0,0.5268890857696533
