dimension,MDP_ID,wind_param,sol_method,l1_norm,no_solutions,solver_time
4,131,0.8,IP,0.0,5.0,0.6109728813171387
4,131,0.8,IP,10.0,13.0,1.6341259479522705
4,131,0.8,IP,4.0,7.0,0.9110114574432373
4,131,0.8,IP,2.0,7.0,0.919262170791626
4,131,0.8,IP,2.0,7.0,0.9312272071838379
4,131,0.8,IP,0.0,5.0,0.6623287200927734
4,131,0.8,IP,3.0,5.0,0.9989705085754395
4,131,0.8,IP,5.0,9.0,1.5082576274871826
4,131,0.8,IP,1.0,7.0,1.304365873336792
4,131,0.8,IP,3.0,6.0,1.9419605731964111
4,131,0.8,IP,5.0,9.0,1.9963626861572266
4,131,0.8,IP,3.0,10.0,1.7329583168029785
4,131,0.8,IP,4.0,3.0,0.3587479591369629
4,131,0.8,IP,3.0,8.0,1.299290418624878
4,131,0.8,IP,10.0,6.0,0.7646665573120117
4,131,0.8,IP,3.0,7.0,1.300755500793457
4,131,0.8,IP,0.0,4.0,0.5499451160430908
4,131,0.8,IP,5.0,6.0,1.6328656673431396
4,131,0.8,IP,3.0,5.0,1.3028390407562256
4,131,0.8,IP,1.0,7.0,1.9036648273468018
4,131,0.8,IP,6.0,6.0,0.7679300308227539
4,131,0.8,IP,5.0,6.0,1.008800745010376
4,131,0.8,IP,4.0,10.0,1.2867491245269775
4,131,0.8,IP,0.0,6.0,0.8350703716278076
4,131,0.8,IP,0.0,7.0,0.9243566989898682
4,131,0.8,IP,8.0,10.0,1.2750167846679688
4,131,0.8,IP,1.0,4.0,0.6598079204559326
4,131,0.8,IP,2.0,7.0,0.9318091869354248
4,131,0.8,IP,5.0,7.0,1.6022064685821533
4,131,0.8,IP,1.0,8.0,1.4810817241668701
4,131,0.8,IP,1.0,7.0,1.206529140472412
4,131,0.8,IP,0.0,2.0,0.27933382987976074
4,131,0.8,IP,1.0,3.0,0.6231410503387451
4,131,0.8,IP,3.0,4.0,0.690131664276123
4,131,0.8,IP,3.0,5.0,1.1104447841644287
4,131,0.8,IP,1.0,5.0,1.3343961238861084
4,131,0.8,IP,5.0,8.0,1.2412495613098145
4,131,0.8,IP,2.0,6.0,0.7899453639984131
4,131,0.8,IP,7.0,5.0,1.2096025943756104
4,131,0.8,IP,5.0,6.0,2.0056557655334473
4,131,0.8,IP,1.0,8.0,2.279168128967285
4,131,0.8,IP,5.0,9.0,1.939765453338623
4,131,0.8,IP,1.0,3.0,0.7563109397888184
4,131,0.8,IP,6.0,10.0,1.2600719928741455
4,131,0.8,IP,2.0,7.0,0.9289476871490479
4,131,0.8,IP,2.0,4.0,0.5000081062316895
4,131,0.8,IP,1.0,4.0,0.6651303768157959
4,131,0.8,IP,0.0,6.0,0.7960870265960693
4,131,0.8,IP,2.0,6.0,0.7708427906036377
4,131,0.8,IP,5.0,3.0,0.5821168422698975
4,131,0.8,IP,5.0,9.0,1.616553544998169
4,131,0.8,IP,2.0,4.0,0.519871711730957
4,131,0.8,IP,1.0,3.0,0.5928962230682373
4,131,0.8,IP,5.0,5.0,1.1018962860107422
4,131,0.8,IP,1.0,8.0,1.3417232036590576
4,131,0.8,IP,5.0,9.0,2.8400118350982666
4,131,0.8,IP,1.0,5.0,1.00260591506958
4,131,0.8,IP,1.0,4.0,0.9411888122558594
4,131,0.8,IP,0.0,7.0,0.9900851249694824
4,131,0.8,IP,2.0,4.0,0.5277378559112549
4,131,0.8,IP,1.0,6.0,1.610753059387207
4,131,0.8,IP,5.0,6.0,1.1596498489379883
4,131,0.8,IP,6.0,4.0,0.5066699981689453
4,131,0.8,IP,4.0,6.0,0.7675459384918213
4,131,0.8,IP,0.0,6.0,0.8262977600097656
4,131,0.8,IP,0.0,3.0,0.3948335647583008
4,131,0.8,IP,3.0,4.0,0.7244136333465576
4,131,0.8,IP,0.0,7.0,0.9753506183624268
4,131,0.8,IP,4.0,9.0,1.118391990661621
4,131,0.8,IP,0.0,4.0,0.550727128982544
4,131,0.8,IP,2.0,5.0,0.6282761096954346
4,131,0.8,IP,1.0,4.0,0.5885429382324219
4,131,0.8,IP,5.0,4.0,0.8830900192260742
4,131,0.8,IP,2.0,5.0,0.6649694442749023
4,131,0.8,IP,5.0,7.0,1.428955316543579
4,131,0.8,IP,3.0,5.0,1.43172025680542
4,131,0.8,IP,6.0,7.0,0.9118053913116455
4,131,0.8,IP,3.0,3.0,0.49630045890808105
4,131,0.8,IP,1.0,3.0,0.7678031921386719
4,131,0.8,IP,2.0,5.0,0.6512112617492676
4,131,0.8,IP,1.0,5.0,0.747565746307373
4,131,0.8,IP,7.0,8.0,1.5904507637023926
4,131,0.8,IP,3.0,5.0,0.8498153686523438
4,131,0.8,IP,6.0,7.0,0.8935837745666504
4,131,0.8,IP,3.0,3.0,0.6305878162384033
4,131,0.8,IP,0.0,7.0,0.9794671535491943
4,131,0.8,IP,2.0,7.0,0.9023282527923584
4,131,0.8,IP,8.0,7.0,0.8603370189666748
4,131,0.8,IP,3.0,5.0,1.0185725688934326
4,131,0.8,IP,2.0,9.0,1.1816749572753906
4,131,0.8,IP,4.0,5.0,0.6407270431518555
4,131,0.8,IP,7.0,4.0,0.5304851531982422
4,131,0.8,IP,5.0,8.0,1.550886631011963
4,131,0.8,IP,0.0,6.0,0.7946619987487793
4,131,0.8,IP,2.0,10.0,1.2874319553375244
4,131,0.8,IP,3.0,7.0,1.2777271270751953
4,131,0.8,IP,5.0,8.0,1.2205195426940918
4,131,0.8,IP,1.0,6.0,1.2084791660308838
4,131,0.8,IP,6.0,7.0,0.9137959480285645
4,131,0.8,IP,7.0,6.0,1.422339677810669
4,131,0.8,IP,8.0,10.0,1.2675142288208008
4,131,0.8,IP,3.0,7.0,1.3784551620483398
4,131,0.8,IP,1.0,3.0,0.5523214340209961
4,131,0.8,IP,0.0,4.0,0.5326733589172363
4,131,0.8,IP,0.0,3.0,0.41529202461242676
4,131,0.8,IP,3.0,7.0,1.1995408535003662
4,131,0.8,IP,5.0,8.0,1.4134001731872559
4,131,0.8,IP,3.0,6.0,2.1236064434051514
4,131,0.8,IP,7.0,9.0,1.6123201847076416
4,131,0.8,IP,7.0,5.0,1.0254662036895752
4,131,0.8,IP,5.0,8.0,1.1707525253295898
4,131,0.8,IP,3.0,6.0,1.3381400108337402
4,131,0.8,IP,2.0,3.0,0.38335490226745605
4,131,0.8,IP,4.0,5.0,0.6863405704498291
4,131,0.8,IP,4.0,6.0,0.7967789173126221
4,131,0.8,IP,3.0,7.0,1.245391845703125
4,131,0.8,IP,1.0,8.0,1.6423234939575195
4,131,0.8,IP,0.0,3.0,0.429610013961792
