dimension,MDP_ID,wind_param,sol_method,l1_norm,no_solutions,solver_time
3,101,0.8,IP,0.0,4.0,0.5064902305603027
3,101,0.8,IP,0.0,4.0,0.5070407390594482
3,101,0.8,IP,0.0,2.0,0.2567763328552246
3,101,0.8,IP,0.0,7.0,0.8576955795288086
3,101,0.8,IP,1.0,7.0,0.8340432643890381
3,101,0.8,IP,0.0,5.0,0.5942656993865967
3,101,0.8,IP,0.0,4.0,0.47284698486328125
3,101,0.8,IP,0.0,5.0,0.6004259586334229
3,101,0.8,IP,1.0,6.0,0.7190990447998047
3,101,0.8,IP,0.0,3.0,0.36482882499694824
3,101,0.8,IP,0.0,3.0,0.3689291477203369
3,101,0.8,IP,0.0,4.0,0.49477267265319824
3,101,0.8,IP,0.0,6.0,0.7088282108306885
3,101,0.8,IP,0.0,2.0,0.24108505249023438
3,101,0.8,IP,0.0,3.0,0.3587956428527832
3,101,0.8,IP,0.0,5.0,0.5952286720275879
3,101,0.8,IP,0.0,3.0,0.363983154296875
3,101,0.8,IP,0.0,2.0,0.2388150691986084
3,101,0.8,IP,1.0,8.0,0.9409990310668945
3,101,0.8,IP,2.0,5.0,0.6007518768310547
3,101,0.8,IP,0.0,4.0,0.4849355220794678
3,101,0.8,IP,0.0,7.0,0.8381788730621338
3,101,0.8,IP,0.0,5.0,0.6022562980651855
3,101,0.8,IP,0.0,4.0,0.48577022552490234
3,101,0.8,IP,0.0,6.0,0.7214558124542236
3,101,0.8,IP,0.0,5.0,0.621178150177002
3,101,0.8,IP,2.0,10.0,1.2009663581848145
3,101,0.8,IP,0.0,4.0,0.4640481472015381
3,101,0.8,IP,0.0,5.0,0.6010470390319824
3,101,0.8,IP,0.0,6.0,0.7230801582336426
3,101,0.8,IP,1.0,5.0,0.5961892604827881
3,101,0.8,IP,0.0,3.0,0.36261510848999023
3,101,0.8,IP,1.0,6.0,0.7152249813079834
3,101,0.8,IP,1.0,6.0,1.1925406455993652
3,101,0.8,IP,0.0,4.0,1.5861577987670898
3,101,0.8,IP,0.0,5.0,0.610666036605835
3,101,0.8,IP,0.0,5.0,0.6145474910736084
3,101,0.8,IP,1.0,3.0,0.3572561740875244
3,101,0.8,IP,0.0,4.0,0.4791867733001709
3,101,0.8,IP,0.0,7.0,0.8517940044403076
3,101,0.8,IP,0.0,5.0,0.6119847297668457
3,101,0.8,IP,1.0,7.0,0.8403422832489014
3,101,0.8,IP,0.0,6.0,0.7167763710021973
3,101,0.8,IP,2.0,7.0,0.8288242816925049
3,101,0.8,IP,1.0,6.0,0.7034652233123779
3,101,0.8,IP,0.0,2.0,0.2463517189025879
3,101,0.8,IP,0.0,5.0,0.6046373844146729
3,101,0.8,IP,0.0,5.0,0.5958671569824219
3,101,0.8,IP,1.0,8.0,0.9488697052001953
3,101,0.8,IP,1.0,5.0,0.6072638034820557
3,101,0.8,IP,0.0,2.0,0.24298763275146484
3,101,0.8,IP,0.0,5.0,0.6070246696472168
3,101,0.8,IP,0.0,6.0,0.7385656833648682
3,101,0.8,IP,0.0,4.0,0.4795055389404297
3,101,0.8,IP,0.0,4.0,0.4724102020263672
3,101,0.8,IP,0.0,4.0,0.48520755767822266
3,101,0.8,IP,0.0,6.0,0.7223689556121826
3,101,0.8,IP,0.0,5.0,0.605302095413208
3,101,0.8,IP,0.0,4.0,0.4835801124572754
3,101,0.8,IP,0.0,6.0,0.7248847484588623
3,101,0.8,IP,0.0,2.0,0.24552035331726074
3,101,0.8,IP,0.0,10.0,1.2222692966461182
3,101,0.8,IP,0.0,5.0,0.6233766078948975
3,101,0.8,IP,0.0,5.0,0.6151220798492432
3,101,0.8,IP,0.0,4.0,0.4854450225830078
3,101,0.8,IP,2.0,8.0,0.9545164108276367
3,101,0.8,IP,0.0,4.0,0.48444485664367676
3,101,0.8,IP,1.0,5.0,0.6018059253692627
3,101,0.8,IP,0.0,4.0,0.49057483673095703
3,101,0.8,IP,0.0,4.0,0.48207998275756836
