grid_size,training_time
2,0.08877968788146973
3,0.4926450252532959
4,1.687197208404541
5,4.37266993522644
6,9.502185106277466
7,18.25274419784546
8,32.14962100982666
9,52.53339505195618
10,81.5679681301117
11,120.82894110679626
12,172.97257208824158
