Mon Feb  6 18:55:50 2023    output.dat

         35893072 function calls (34155843 primitive calls) in 13.779 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 18604/35    0.015    0.000    0.036    0.001 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:789(recurser)
    15552    0.005    0.000    0.007    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:739(_extendLine)
    15552    0.004    0.000    0.012    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:753(_extendLine_pretty)
    15552    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
    12600    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.dragon4_scientific}
     9900    0.015    0.000    0.040    0.000 /Users/gabrielpereira/repos/gridworld-numpy/dynamic_programming_3d.py:103(state_difference_to_action)
     9900    0.006    0.000    0.008    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:1018(__call__)
     9900    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     9900    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
     9010    0.001    0.000    0.001    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/lib/index_tricks.py:684(__next__)
     9010    0.000    0.000    0.000    0.000 {built-in method builtins.next}
     7200    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
     6307    0.001    0.000    0.002    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:960(<genexpr>)
     6307    0.001    0.000    0.003    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:963(<genexpr>)
     6307    0.001    0.000    0.001    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:964(<genexpr>)
     6307    0.000    0.000    0.001    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:965(<genexpr>)
     6307    0.000    0.000    0.001    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:968(<genexpr>)
     6307    0.000    0.000    0.001    0.000 /Users/gabrielpereira/repos/gridworld-numpy/.env/lib/python3.10/site-packages/numpy/core/arrayprint.py:977(<genexpr>)
     6300    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
