dimension,MDP_ID,wind_param,sol_method,l1_norm,no_solutions,solver_time
4,51,0.8,IP,0.0,2.0,0.2654457092285156
4,51,0.8,IP,3.0,2.0,0.3619351387023926
4,51,0.8,IP,0.0,3.0,0.3839449882507324
4,51,0.8,IP,0.0,4.0,0.5098838806152344
4,51,0.8,IP,1.0,1.0,0.155242919921875
4,51,0.8,IP,1.0,1.0,0.1861250400543213
4,51,0.8,IP,1.0,4.0,0.5348637104034424
4,51,0.8,IP,1.0,2.0,0.2874412536621094
4,51,0.8,IP,0.0,2.0,0.2530338764190674
4,51,0.8,IP,0.0,3.0,0.38545918464660645
4,51,0.8,IP,0.0,1.0,0.1228179931640625
4,51,0.8,IP,1.0,1.0,0.16702508926391602
4,51,0.8,IP,2.0,5.0,0.6116437911987305
4,51,0.8,IP,0.0,1.0,0.12558293342590332
4,51,0.8,IP,1.0,3.0,0.4618661403656006
4,51,0.8,IP,1.0,3.0,0.4437699317932129
4,51,0.8,IP,2.0,4.0,0.5033061504364014
4,51,0.8,IP,3.0,4.0,0.580958366394043
4,51,0.8,IP,0.0,1.0,0.1244668960571289
4,51,0.8,IP,1.0,2.0,0.28052687644958496
4,51,0.8,IP,0.0,1.0,0.12070512771606445
4,51,0.8,IP,4.0,2.0,0.2362961769104004
4,51,0.8,IP,1.0,2.0,0.31119489669799805
4,51,0.8,IP,2.0,3.0,0.372180700302124
4,51,0.8,IP,0.0,2.0,0.24491238594055176
4,51,0.8,IP,0.0,3.0,0.36017608642578125
4,51,0.8,IP,0.0,2.0,0.27220821380615234
4,51,0.8,IP,0.0,1.0,0.12795114517211914
4,51,0.8,IP,0.0,1.0,0.13060712814331055
4,51,0.8,IP,3.0,2.0,0.28650689125061035
4,51,0.8,IP,1.0,2.0,0.30252695083618164
4,51,0.8,IP,2.0,2.0,0.24184250831604004
4,51,0.8,IP,0.0,2.0,0.26815199851989746
4,51,0.8,IP,2.0,5.0,0.6205251216888428
4,51,0.8,IP,1.0,2.0,0.3321981430053711
4,51,0.8,IP,2.0,3.0,0.3725578784942627
4,51,0.8,IP,1.0,3.0,0.43147897720336914
4,51,0.8,IP,0.0,1.0,0.14006471633911133
4,51,0.8,IP,1.0,1.0,0.1517019271850586
4,51,0.8,IP,1.0,1.0,0.15923476219177246
4,51,0.8,IP,1.0,3.0,0.40020012855529785
4,51,0.8,IP,0.0,2.0,0.2475287914276123
4,51,0.8,IP,0.0,2.0,0.256378173828125
4,51,0.8,IP,0.0,1.0,0.13669824600219727
4,51,0.8,IP,2.0,3.0,0.38026976585388184
4,51,0.8,IP,1.0,2.0,0.32716894149780273
4,51,0.8,IP,4.0,3.0,0.36501097679138184
4,51,0.8,IP,0.0,3.0,0.3657851219177246
4,51,0.8,IP,0.0,1.0,0.13862395286560059
4,51,0.8,IP,1.0,2.0,0.2828080654144287
4,51,0.8,IP,2.0,2.0,0.25928497314453125
4,51,0.8,IP,1.0,1.0,0.17095613479614258
4,51,0.8,IP,2.0,4.0,0.5065133571624756
4,51,0.8,IP,1.0,2.0,0.2938501834869385
4,51,0.8,IP,2.0,2.0,0.2449970245361328
4,51,0.8,IP,3.0,4.0,0.5814659595489502
4,51,0.8,IP,0.0,1.0,0.1258552074432373
4,51,0.8,IP,1.0,1.0,0.1356189250946045
4,51,0.8,IP,1.0,2.0,0.3182554244995117
4,51,0.8,IP,3.0,2.0,0.2444629669189453
4,51,0.8,IP,1.0,3.0,0.4440023899078369
4,51,0.8,IP,2.0,3.0,0.36449646949768066
4,51,0.8,IP,3.0,3.0,0.4216337203979492
4,51,0.8,IP,3.0,4.0,0.5365638732910156
4,51,0.8,IP,2.0,3.0,0.3805217742919922
4,51,0.8,IP,1.0,2.0,0.28735995292663574
4,51,0.8,IP,1.0,3.0,0.4256417751312256
4,51,0.8,IP,3.0,2.0,0.27779293060302734
4,51,0.8,IP,2.0,4.0,0.48170995712280273
4,51,0.8,IP,1.0,1.0,0.14069819450378418
4,51,0.8,IP,1.0,2.0,0.2793080806732178
4,51,0.8,IP,0.0,1.0,0.14083099365234375
4,51,0.8,IP,3.0,3.0,0.43523287773132324
4,51,0.8,IP,1.0,2.0,0.28981924057006836
4,51,0.8,IP,1.0,4.0,0.5429391860961914
4,51,0.8,IP,0.0,2.0,0.27205896377563477
4,51,0.8,IP,3.0,2.0,0.2924678325653076
4,51,0.8,IP,2.0,4.0,0.504788875579834
4,51,0.8,IP,0.0,3.0,0.39939188957214355
4,51,0.8,IP,1.0,1.0,0.16228389739990234
4,51,0.8,IP,0.0,3.0,0.38433361053466797
4,51,0.8,IP,2.0,3.0,0.3678624629974365
4,51,0.8,IP,0.0,2.0,0.2743043899536133
4,51,0.8,IP,0.0,2.0,0.25847673416137695
4,51,0.8,IP,1.0,1.0,0.16367602348327637
4,51,0.8,IP,1.0,2.0,0.30972862243652344
4,51,0.8,IP,0.0,2.0,0.24802327156066895
4,51,0.8,IP,3.0,3.0,0.4539008140563965
4,51,0.8,IP,2.0,3.0,0.3627479076385498
4,51,0.8,IP,1.0,1.0,0.16381120681762695
4,51,0.8,IP,0.0,2.0,0.2531149387359619
4,51,0.8,IP,1.0,2.0,0.2811472415924072
4,51,0.8,IP,1.0,3.0,0.4296879768371582
4,51,0.8,IP,3.0,2.0,0.26195693016052246
4,51,0.8,IP,2.0,4.0,0.5003588199615479
4,51,0.8,IP,1.0,2.0,0.29600000381469727
4,51,0.8,IP,0.0,2.0,0.2524139881134033
4,51,0.8,IP,3.0,3.0,0.4034242630004883
4,51,0.8,IP,4.0,3.0,0.36766791343688965
