dimension,MDP_ID,wind_param,sol_method,l1_norm,no_solutions,solver_time
3,121,0.8,IP,0.0,7.0,0.875518798828125
3,121,0.8,IP,2.0,8.0,1.0077176094055176
3,121,0.8,IP,0.0,4.0,0.48018312454223633
3,121,0.8,IP,0.0,10.0,1.2226388454437256
3,121,0.8,IP,0.0,2.0,0.246201753616333
3,121,0.8,IP,0.0,7.0,0.869199275970459
3,121,0.8,IP,0.0,7.0,0.859166145324707
3,121,0.8,IP,0.0,5.0,0.6075990200042725
3,121,0.8,IP,0.0,6.0,0.7390978336334229
3,121,0.8,IP,0.0,6.0,0.7503271102905273
3,121,0.8,IP,0.0,5.0,0.613706111907959
3,121,0.8,IP,0.0,10.0,1.1891958713531494
3,121,0.8,IP,0.0,5.0,0.6078269481658936
3,121,0.8,IP,0.0,6.0,0.722282886505127
3,121,0.8,IP,1.0,6.0,0.7250142097473145
3,121,0.8,IP,0.0,6.0,0.7239396572113037
3,121,0.8,IP,0.0,8.0,0.9944226741790771
3,121,0.8,IP,2.0,9.0,1.0911917686462402
3,121,0.8,IP,0.0,9.0,1.0834777355194092
3,121,0.8,IP,0.0,7.0,0.8563859462738037
3,121,0.8,IP,0.0,4.0,0.49623751640319824
3,121,0.8,IP,0.0,5.0,0.6081392765045166
3,121,0.8,IP,0.0,5.0,0.5983145236968994
3,121,0.8,IP,0.0,3.0,0.3601973056793213
3,121,0.8,IP,0.0,7.0,0.8601539134979248
3,121,0.8,IP,0.0,4.0,0.48209166526794434
3,121,0.8,IP,0.0,6.0,0.7136180400848389
3,121,0.8,IP,1.0,7.0,0.8533837795257568
3,121,0.8,IP,0.0,4.0,0.49994730949401855
3,121,0.8,IP,0.0,4.0,0.5014796257019043
3,121,0.8,IP,0.0,9.0,1.0859582424163818
3,121,0.8,IP,1.0,8.0,0.967979907989502
3,121,0.8,IP,0.0,3.0,0.3652637004852295
3,121,0.8,IP,1.0,6.0,0.7071912288665771
3,121,0.8,IP,0.0,4.0,0.4901721477508545
3,121,0.8,IP,0.0,4.0,0.49706506729125977
3,121,0.8,IP,1.0,9.0,1.0647997856140137
3,121,0.8,IP,0.0,7.0,0.8459954261779785
3,121,0.8,IP,0.0,6.0,0.7361245155334473
