dimension,MDP_ID,wind_param,sol_method,l1_norm,no_solutions,solver_time
3,111,0.8,IP,0.0,7.0,0.865839958190918
3,111,0.8,IP,0.0,6.0,0.7263050079345703
3,111,0.8,IP,0.0,4.0,0.4822700023651123
3,111,0.8,IP,0.0,3.0,0.3683011531829834
3,111,0.8,IP,0.0,2.0,0.2361760139465332
3,111,0.8,IP,0.0,6.0,0.7141358852386475
3,111,0.8,IP,1.0,4.0,0.48766589164733887
3,111,0.8,IP,0.0,8.0,0.9824440479278564
3,111,0.8,IP,0.0,5.0,0.6175193786621094
3,111,0.8,IP,0.0,6.0,0.7174477577209473
3,111,0.8,IP,1.0,4.0,0.47583484649658203
3,111,0.8,IP,0.0,8.0,0.9449615478515625
3,111,0.8,IP,0.0,4.0,0.4848790168762207
3,111,0.8,IP,0.0,6.0,0.7338101863861084
3,111,0.8,IP,0.0,6.0,0.7175421714782715
3,111,0.8,IP,0.0,4.0,0.4685943126678467
3,111,0.8,IP,1.0,3.0,0.36780381202697754
3,111,0.8,IP,0.0,5.0,0.6166362762451172
3,111,0.8,IP,0.0,4.0,0.49077486991882324
3,111,0.8,IP,0.0,9.0,1.0748624801635742
3,111,0.8,IP,0.0,7.0,0.8395822048187256
3,111,0.8,IP,1.0,7.0,0.8436760902404785
3,111,0.8,IP,0.0,4.0,0.4823598861694336
3,111,0.8,IP,0.0,6.0,0.717559814453125
3,111,0.8,IP,0.0,6.0,0.7312452793121338
3,111,0.8,IP,0.0,3.0,0.36776185035705566
3,111,0.8,IP,0.0,5.0,0.616966962814331
3,111,0.8,IP,0.0,5.0,0.6157948970794678
3,111,0.8,IP,1.0,12.0,1.460914134979248
3,111,0.8,IP,0.0,4.0,0.4820730686187744
3,111,0.8,IP,0.0,5.0,0.6061661243438721
3,111,0.8,IP,0.0,7.0,0.8545279502868652
3,111,0.8,IP,0.0,2.0,0.23966002464294434
3,111,0.8,IP,1.0,4.0,0.47072911262512207
3,111,0.8,IP,1.0,5.0,0.5944797992706299
3,111,0.8,IP,0.0,6.0,0.7313718795776367
3,111,0.8,IP,2.0,9.0,1.0919489860534668
3,111,0.8,IP,0.0,7.0,0.8610000610351562
3,111,0.8,IP,3.0,8.0,0.9493577480316162
